actual_timesteps,approximate_kl,clip_fraction,effective_device,entropy_loss,environment_version,error,explained_variance,feature_version,learning_rate,parameter_count,policy_gradient_loss,recurrent_continuity_checks,recurrent_continuity_verified,recurrent_contract_version,requested_device,requested_timesteps,rollout_boundaries_observed,run_id,runtime_seconds,seed,status,steps_per_second,study_version,symbol,test_partition_loaded,train_end,train_rows,train_start,updates,validation_end,validation_exposure_percentage,validation_first_episode_start,validation_max_drawdown,validation_parameters_unchanged,validation_return,validation_rows,validation_sharpe,validation_start,validation_status,validation_trade_count,value_loss,worker_wall_seconds
50176,0.03332602232694626,0.1408203125,cpu,-0.3103177944198251,single_symbol_env_v1,,0.9875652194023132,psx-4a-126450ec6355,0.0003,51076,-0.016839066753163934,97,True,rl_recurrent_partition_v1,cpu,50000,98,budget-63d0e4f31cc097e83c76,115.59601787500014,123,completed,434.0633952828536,recurrent_budget_study_v1,LSEFSL,False,2025-12-29,341,2024-08-16,980,2026-04-15,77.77777777777779,True,0.5862117865080947,True,-0.5644051450332597,73,-4.038687452460621,2025-12-30,completed,10,0.0022512275871122258,115.64246129100002
100352,0.03861458599567413,0.10703125,cpu,-0.1663871598429978,single_symbol_env_v1,,0.9964659214019775,psx-4a-126450ec6355,0.0003,51076,-0.012218976492295041,195,True,rl_recurrent_partition_v1,cpu,100000,196,budget-23a9ad39c1afdee578fb,233.21109770899966,123,completed,430.30542279432615,recurrent_budget_study_v1,LSEFSL,False,2025-12-29,341,2024-08-16,1960,2026-04-15,69.44444444444444,True,0.5026275963295799,True,-0.33090776080899953,73,-1.5949337601131992,2025-12-30,completed,17,0.0009708160566333391,233.26278354199985
250368,0.05648059770464897,0.1353515625,cpu,-0.18772327918559312,single_symbol_env_v1,,0.9785918593406677,psx-4a-126450ec6355,0.0003,51076,-0.01977753444807604,488,True,rl_recurrent_partition_v1,cpu,250000,489,budget-57b37118903a631696e6,561.6510080829999,123,completed,445.77147801184225,recurrent_budget_study_v1,LSEFSL,False,2025-12-29,341,2024-08-16,4890,2026-04-15,51.388888888888886,True,0.4692970873017247,True,-0.355785972421229,73,-1.7854992055074894,2025-12-30,completed,22,0.003809774972251034,561.7014920839997
50176,0.026624232530593872,0.1234375,cpu,-0.37057313453406093,single_symbol_env_v1,,0.9870005249977112,psx-4a-126450ec6355,0.0003,51076,-0.02159395645139739,97,True,rl_recurrent_partition_v1,cpu,50000,98,budget-72b159aedf62ed644886,111.55575895899983,2026,completed,449.78404044959456,recurrent_budget_study_v1,LSEFSL,False,2025-12-29,341,2024-08-16,980,2026-04-15,87.5,True,0.5378661023162656,True,-0.3914574047864695,73,-1.9979376220113245,2025-12-30,completed,11,0.0026552527633612044,111.60165937500005
100352,0.05603384971618652,0.1009765625,cpu,-0.2102401782758534,single_symbol_env_v1,,0.9941844344139099,psx-4a-126450ec6355,0.0003,51076,-0.014441703411284834,195,True,rl_recurrent_partition_v1,cpu,100000,196,budget-5e962190c6cfcb80aa78,222.00759150000067,2026,completed,452.02057876475675,recurrent_budget_study_v1,LSEFSL,False,2025-12-29,341,2024-08-16,1960,2026-04-15,88.88888888888889,True,0.5728170359719699,True,-0.44324889641844945,73,-2.4749083937897685,2025-12-30,completed,13,0.0019553591917429005,222.05369266700018
250368,0.06953153014183044,0.1259765625,cpu,-0.2128946472890675,single_symbol_env_v1,,0.9933281540870667,psx-4a-126450ec6355,0.0003,51076,-0.019982084340881556,488,True,rl_recurrent_partition_v1,cpu,250000,489,budget-1be84c4496f1b4005add,550.7011282080002,2026,completed,454.6349865211023,recurrent_budget_study_v1,LSEFSL,False,2025-12-29,341,2024-08-16,4890,2026-04-15,80.55555555555556,True,0.5611282067814187,True,-0.3798721348786046,73,-2.013950877009779,2025-12-30,completed,11,0.001441078020798159,550.7530417919997
50176,0.014275729656219482,0.1013671875,cpu,-0.3603499386459589,single_symbol_env_v1,,0.7579668760299683,psx-4a-126450ec6355,0.0003,51076,-0.01658396393759176,97,True,rl_recurrent_partition_v1,cpu,50000,98,budget-bdf8f4078bb20ccc0631,104.37426399998367,42,completed,480.73153358961986,recurrent_budget_study_v1,MARI,False,2023-08-23,1704,2016-10-06,980,2025-02-12,37.362637362637365,True,0.4214619756555408,True,0.26958333291139525,365,0.6555888606464427,2023-08-24,completed,5,0.0005931533862167271,104.518606208032
100352,0.016659505665302277,0.12734375,cpu,-0.4228568345308304,single_symbol_env_v1,,0.25316470861434937,psx-4a-126450ec6355,0.0003,51076,-0.02049634777358733,195,True,rl_recurrent_partition_v1,cpu,100000,196,budget-e4ec7f15eabb8f805111,218.213545333012,42,completed,459.87979273630566,recurrent_budget_study_v1,MARI,False,2023-08-23,1704,2016-10-06,1960,2025-02-12,42.30769230769231,True,0.42143390646546897,True,0.31408068756354024,365,0.7232634762344384,2023-08-24,completed,5,0.0002241683134343475,218.36088149994612
250368,0.03317362815141678,0.170703125,cpu,-0.3953904453665018,single_symbol_env_v1,,0.9505900740623474,psx-4a-126450ec6355,0.0003,51076,-0.02818988580838777,488,True,rl_recurrent_partition_v1,cpu,250000,489,budget-63fd7b160d64bd7ea1ba,534.5934825000586,42,completed,468.33343128153933,recurrent_budget_study_v1,MARI,False,2023-08-23,1704,2016-10-06,4890,2025-02-12,24.175824175824175,True,0.11835514052243234,True,0.1520381492641354,365,0.7062519427910438,2023-08-24,completed,22,0.00025132299192591744,534.7495133749908
50176,0.03956957906484604,0.175,cpu,-0.5336105868220329,single_symbol_env_v1,,0.6202303171157837,psx-4a-126450ec6355,0.0003,51076,-0.01872093366109766,97,True,rl_recurrent_partition_v1,cpu,50000,98,budget-784b6fb742503d0a7bb9,109.30730837502051,123,completed,459.0360950784009,recurrent_budget_study_v1,MARI,False,2023-08-23,1704,2016-10-06,980,2025-02-12,50.0,True,0.42149127888239835,True,1.0497925620849906,365,1.5355534386193388,2023-08-24,completed,17,0.000737666673012427,109.45692058303393
100352,0.03485223650932312,0.17734375,cpu,-0.4165693085640669,single_symbol_env_v1,,0.11161291599273682,psx-4a-126450ec6355,0.0003,51076,-0.02351039764471352,195,True,rl_recurrent_partition_v1,cpu,100000,196,budget-a89eca6e17bb2a04ec3d,211.68653766601346,123,completed,474.0594329070159,recurrent_budget_study_v1,MARI,False,2023-08-23,1704,2016-10-06,1960,2025-02-12,38.73626373626374,True,0.4214440559817376,True,0.4477117402599309,365,0.9116084592683871,2023-08-24,completed,11,0.00028410707873263166,211.8372035420034
