date,weekday,current_saved_state_category,current_saved_message_reason,attempt_count,recorded_response_sizes_bytes,raw_html_exists,raw_html_path,raw_html_byte_size,historical_table_present,tbody_empty,equity_rows_present,csv_file_exists,valid_csv_exists,csv_path,csv_row_count,represented_by_successful_local_file,weekend,possible_holiday_non_trading_candidate,audit_group,recommended_next_action
2023-06-28,Wednesday,temporarily unavailable,Temporary unavailable after 4 attempts; weekday responses contained no equity rows; eligible for retry,4,903; 903; 903; 903,Yes,data/raw/html/market_2023-06-28.html,903,Yes,Yes,No,No,No,Not Available,Not Available,No,No,Yes,B — repeated 903-byte empty tables,likely non-trading/holiday candidate
2023-06-29,Thursday,temporarily unavailable,Temporary unavailable after 4 attempts; weekday responses contained no equity rows; eligible for retry,4,903; 903; 903; 903,Yes,data/raw/html/market_2023-06-29.html,903,Yes,Yes,No,No,No,Not Available,Not Available,No,No,Yes,B — repeated 903-byte empty tables,likely non-trading/holiday candidate
2023-06-30,Friday,temporarily unavailable,Temporary unavailable after 4 attempts; weekday responses contained no equity rows; eligible for retry,4,903; 903; 903; 903,Yes,data/raw/html/market_2023-06-30.html,903,Yes,Yes,No,No,No,Not Available,Not Available,No,No,Yes,B — repeated 903-byte empty tables,likely non-trading/holiday candidate
2023-07-28,Friday,temporarily unavailable,Temporary unavailable after 4 attempts; weekday responses contained no equity rows; eligible for retry,4,903; 903; 903; 903,Yes,data/raw/html/market_2023-07-28.html,903,Yes,Yes,No,No,No,Not Available,Not Available,No,No,Yes,B — repeated 903-byte empty tables,likely non-trading/holiday candidate
2023-08-14,Monday,temporarily unavailable,Temporary unavailable after 4 attempts; weekday responses contained no equity rows; eligible for retry,4,903; 903; 903; 903,Yes,data/raw/html/market_2023-08-14.html,903,Yes,Yes,No,No,No,Not Available,Not Available,No,No,Yes,B — repeated 903-byte empty tables,likely non-trading/holiday candidate
2023-09-29,Friday,temporarily unavailable,Temporary unavailable after 4 attempts; weekday responses contained no equity rows; eligible for retry,4,903; 903; 903; 903,Yes,data/raw/html/market_2023-09-29.html,903,Yes,Yes,No,No,No,Not Available,Not Available,No,No,Yes,B — repeated 903-byte empty tables,likely non-trading/holiday candidate
2023-11-09,Thursday,temporarily unavailable,Temporary unavailable after 4 attempts; weekday responses contained no equity rows; eligible for retry,4,903; 903; 903; 903,Yes,data/raw/html/market_2023-11-09.html,903,Yes,Yes,No,No,No,Not Available,Not Available,No,No,Yes,B — repeated 903-byte empty tables,likely non-trading/holiday candidate
2023-12-25,Monday,temporarily unavailable,Temporary unavailable after 4 attempts; weekday responses contained no equity rows; eligible for retry,4,903; 903; 903; 903,Yes,data/raw/html/market_2023-12-25.html,903,Yes,Yes,No,No,No,Not Available,Not Available,No,No,Yes,B — repeated 903-byte empty tables,likely non-trading/holiday candidate
2024-02-05,Monday,temporarily unavailable,Temporary unavailable after 4 attempts; weekday responses contained no equity rows; eligible for retry,4,903; 903; 903; 903,Yes,data/raw/html/market_2024-02-05.html,903,Yes,Yes,No,No,No,Not Available,Not Available,No,No,Yes,B — repeated 903-byte empty tables,likely non-trading/holiday candidate
2024-02-08,Thursday,temporarily unavailable,Temporary unavailable after 4 attempts; weekday responses contained no equity rows; eligible for retry,4,903; 903; 903; 903,Yes,data/raw/html/market_2024-02-08.html,903,Yes,Yes,No,No,No,Not Available,Not Available,No,No,Yes,B — repeated 903-byte empty tables,likely non-trading/holiday candidate
2024-04-05,Friday,temporarily unavailable,Temporary unavailable after 4 attempts; weekday responses contained no equity rows; eligible for retry,4,903; 903; 903; 903,Yes,data/raw/html/market_2024-04-05.html,903,Yes,Yes,No,No,No,Not Available,Not Available,No,No,Yes,B — repeated 903-byte empty tables,likely non-trading/holiday candidate
2024-04-10,Wednesday,temporarily unavailable,Temporary unavailable after 4 attempts; weekday responses contained no equity rows; eligible for retry,4,903; 903; 903; 903,Yes,data/raw/html/market_2024-04-10.html,903,Yes,Yes,No,No,No,Not Available,Not Available,No,No,Yes,B — repeated 903-byte empty tables,likely non-trading/holiday candidate
2024-04-11,Thursday,temporarily unavailable,Temporary unavailable after 4 attempts; weekday responses contained no equity rows; eligible for retry,4,903; 903; 903; 903,Yes,data/raw/html/market_2024-04-11.html,903,Yes,Yes,No,No,No,Not Available,Not Available,No,No,Yes,B — repeated 903-byte empty tables,likely non-trading/holiday candidate
2024-04-12,Friday,temporarily unavailable,Temporary unavailable after 4 attempts; weekday responses contained no equity rows; eligible for retry,4,903; 903; 903; 903,Yes,data/raw/html/market_2024-04-12.html,903,Yes,Yes,No,No,No,Not Available,Not Available,No,No,Yes,B — repeated 903-byte empty tables,likely non-trading/holiday candidate
2024-05-01,Wednesday,temporarily unavailable,Temporary unavailable after 4 attempts; weekday responses contained no equity rows; eligible for retry,4,903; 903; 903; 903,Yes,data/raw/html/market_2024-05-01.html,903,Yes,Yes,No,No,No,Not Available,Not Available,No,No,Yes,B — repeated 903-byte empty tables,likely non-trading/holiday candidate
2024-05-28,Tuesday,temporarily unavailable,Temporary unavailable after 4 attempts; weekday responses contained no equity rows; eligible for retry,4,903; 903; 903; 903,Yes,data/raw/html/market_2024-05-28.html,903,Yes,Yes,No,No,No,Not Available,Not Available,No,No,Yes,B — repeated 903-byte empty tables,likely non-trading/holiday candidate
2024-06-17,Monday,temporarily unavailable,Temporary unavailable after 4 attempts; weekday responses contained no equity rows; eligible for retry,4,903; 903; 903; 903,Yes,data/raw/html/market_2024-06-17.html,903,Yes,Yes,No,No,No,Not Available,Not Available,No,No,Yes,B — repeated 903-byte empty tables,likely non-trading/holiday candidate
2024-06-18,Tuesday,temporarily unavailable,Temporary unavailable after 4 attempts; weekday responses contained no equity rows; eligible for retry,4,903; 903; 903; 903,Yes,data/raw/html/market_2024-06-18.html,903,Yes,Yes,No,No,No,Not Available,Not Available,No,No,Yes,B — repeated 903-byte empty tables,likely non-trading/holiday candidate
2024-06-19,Wednesday,temporarily unavailable,Temporary unavailable after 4 attempts; weekday responses contained no equity rows; eligible for retry,4,903; 903; 903; 903,Yes,data/raw/html/market_2024-06-19.html,903,Yes,Yes,No,No,No,Not Available,Not Available,No,No,Yes,B — repeated 903-byte empty tables,likely non-trading/holiday candidate
2024-07-16,Tuesday,temporarily unavailable,Temporary unavailable after 4 attempts; weekday responses contained no equity rows; eligible for retry,4,903; 903; 903; 903,Yes,data/raw/html/market_2024-07-16.html,903,Yes,Yes,No,No,No,Not Available,Not Available,No,No,Yes,B — repeated 903-byte empty tables,likely non-trading/holiday candidate
2024-07-17,Wednesday,temporarily unavailable,Temporary unavailable after 4 attempts; weekday responses contained no equity rows; eligible for retry,4,903; 903; 903; 903,Yes,data/raw/html/market_2024-07-17.html,903,Yes,Yes,No,No,No,Not Available,Not Available,No,No,Yes,B — repeated 903-byte empty tables,likely non-trading/holiday candidate
2024-08-14,Wednesday,temporarily unavailable,Temporary unavailable after 4 attempts; weekday responses contained no equity rows; eligible for retry,4,903; 903; 903; 903,Yes,data/raw/html/market_2024-08-14.html,903,Yes,Yes,No,No,No,Not Available,Not Available,No,No,Yes,B — repeated 903-byte empty tables,likely non-trading/holiday candidate
2024-09-17,Tuesday,temporarily unavailable,Temporary unavailable after 4 attempts; weekday responses contained no equity rows; eligible for retry,4,903; 903; 903; 903,Yes,data/raw/html/market_2024-09-17.html,903,Yes,Yes,No,No,No,Not Available,Not Available,No,No,Yes,B — repeated 903-byte empty tables,likely non-trading/holiday candidate
2024-11-22,Friday,failed,PsxClientError: PSX request failed for 2024-11-22: 502 Server Error: Bad Gateway for url: https://dps.psx.com.pk/historical,1,Not Available,No,Not Available,Not Available,Not Available,Not Available,Not Available,No,No,Not Available,Not Available,No,No,No,E — failed date,inspect failed request
2024-12-25,Wednesday,temporarily unavailable,Temporary unavailable after 4 attempts; weekday responses contained no equity rows; eligible for retry,4,903; 903; 903; 903,Yes,data/raw/html/market_2024-12-25.html,903,Yes,Yes,No,No,No,Not Available,Not Available,No,No,Yes,B — repeated 903-byte empty tables,likely non-trading/holiday candidate
2025-02-05,Wednesday,temporarily unavailable,Temporary unavailable after 4 attempts; weekday responses contained no equity rows; eligible for retry,4,903; 903; 903; 903,Yes,data/raw/html/market_2025-02-05.html,903,Yes,Yes,No,No,No,Not Available,Not Available,No,No,Yes,B — repeated 903-byte empty tables,likely non-trading/holiday candidate
2025-03-28,Friday,temporarily unavailable,Temporary unavailable after 4 attempts; weekday responses contained no equity rows; eligible for retry,4,903; 903; 903; 903,Yes,data/raw/html/market_2025-03-28.html,903,Yes,Yes,No,No,No,Not Available,Not Available,No,No,Yes,B — repeated 903-byte empty tables,likely non-trading/holiday candidate
